Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Internet Movie Database,Language,Metacritic,Metascore,Plot,Poster,Production,Rated,Released,Response,Rotten Tomatoes,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,movie_id,totalSeasons
"Rebecca Hall, Nick Murphy",N/A,N/A,UK,N/A,Oliver Crocker,Short,N/A,English,N/A,N/A,N/A,N/A,N/A,N/A,28-May-12,TRUE,N/A,N/A,The Awakening: BAFTA Q&A,movie,N/A,N/A,2012,tt3492814,N/A,N/A,1440,
"FranÃ§ois Cluzet, Marion Cotillard, BenoÃ®t Magimel, Gilles Lellouche",4 nominations.,"$183,662",France,5-Feb-13,Guillaume Canet,"Comedy, Drama",7.1/10,French,50/100,50,A near-fatal accident leaves one friend in the hospital while the rest go on their annual vacation. But their secrets and personal grief threaten to drive them apart.,https://images-na.ssl-images-amazon.com/images/M/MV5BYjIzMzVmN2YtM2VlOS00NTY3LWIwNDktODg4MzQ2MWRlOWJmXkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg,MPI Media,NOT RATED,20-Oct-10,TRUE,42%,154 min,Little White Lies,movie,http://www.lespetitsmouchoirs-lefilm.com/,Guillaume Canet (scenario and dialogue),2010,tt1440232,7.1,"20,430",1441,
"Chucks Chyke, Daniel K. Daniel, Tony Ezimmadu, Chioma Nwosu",N/A,N/A,Nigeria,N/A,Ishaya Bako,Short,N/A,English,N/A,N/A,"An encounter with a smooth-talking marketer offers two unsuspecting citizens the opportunity of a lifetime, only to fall victim to a get-rich-quick scheme that ends in disaster! A 15-minute...",N/A,N/A,N/A,1-Oct-12,TRUE,N/A,15 min,Easy Money,movie,N/A,Emil B. Garuba (screenplay),2012,tt4115884,N/A,N/A,1442,
"Arya, Madhavan, Sameera Reddy, Amala Paul",1 win & 2 nominations.,"$198,192",India,N/A,N. Linguswamy,Action,6.0/10,Tamil,,N/A,Thiru join hands with his brother Guru to face the mobsters of a city.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5MzI0MDk2M15BMl5BanBnXkFtZTcwMTM4MTAyNw@@._V1_SX300.jpg,UTV Communications,NOT RATED,14-Jan-12,TRUE,,150 min,Vettai,movie,N/A,"N. Linguswamy, Brindha Sarathy",2012,tt1956697,6,"2,080",1443,
"Brian Presley, Melanie Lynskey, Kurt Russell, Christine Lahti",1 win.,"$204,068",USA,8-Jan-13,Don Handfield,"Drama, Family, Fantasy",6.5/10,English,56/100,56,A man looks back 15 years to the injury that ended his career as a promising high-school football player.,https://m.media-amazon.com/images/M/MV5BMTc4OTk4MDI1MF5BMl5BanBnXkFtZTcwNDExNTg0Nw@@._V1_SX300.jpg,Anchor Bay Entertainment,PG-13,13-Apr-12,TRUE,38%,118 min,Touchback,movie,http://www.touchback-themovie.com/,Don Handfield (screenplay),2011,tt1628055,6.5,"3,520",1444,
"Craig Hauer, Kendra Thomas",N/A,N/A,USA,N/A,Tom Logan,Documentary,8.9/10,English,,N/A,What has happened to Sean and Melissa in the past 10 years? Based on the Bloodhounds TV series.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2MDI1Mzk5Ml5BMl5BanBnXkFtZTcwOTUxNTgyNw@@._V1_SX300.jpg,N/A,N/A,23-Jan-12,TRUE,,60 min,Sean and Melissa: 10 Years Later,movie,N/A,Tom Logan,2012,tt2177711,8.9,99,1445,
"Bill A. Jones, Jeff Goldblum, Bob Odenkirk, Frank Slaten",1 nomination.,"$145,778",USA,8-May-12,"Tim Heidecker, Eric Wareheim",Comedy,5.4/10,English,40/100,40,"Two guys get a billion dollars to make a movie, only to watch their dream run off course. In order to make the money back, they then attempt to revitalize a failing shopping mall.",https://m.media-amazon.com/images/M/MV5BMTU0NTQ5NDYwMV5BMl5BanBnXkFtZTcwNjUzNzUxNw@@._V1_SX300.jpg,Magnolia Pictures,R,27-Jan-12,TRUE,36%,93 min,Tim and Eric's Billion Dollar Movie,movie,http://www.timandericmovie.com,"Tim Heidecker, Eric Wareheim, Jonathan Krisel (additional writing), Doug Lussenhop (additional writing), Jon Mugar (additional writing)",2012,tt1855401,5.4,"8,743",1446,
"Alan Cumming, Garret Dillahunt, Isaac Leyva, Frances Fisher",11 wins & 7 nominations.,"$200,002",USA,23-Apr-13,Travis Fine,Drama,7.5/10,English,60/100,60,"In the 1970s, a gay couple fights a biased legal system to keep custody of the abandoned mentally handicapped teenager that comes to live under their roof.",https://m.media-amazon.com/images/M/MV5BMTA3MjM5MjYwNDleQTJeQWpwZ15BbWU3MDcxNTIzNzg@._V1_SX300.jpg,Music Box Films,R,6-Sep-13,TRUE,79%,98 min,Any Day Now,movie,http://www.anydaynowmovie.com/,"Travis Fine, George Arthur Bloom",2012,tt2066176,7.5,"5,328",1447,
"Andy Lau, Deannie Ip, Hailu Qin, Fuli Wang",32 wins & 24 nominations.,N/A,Hong Kong,26-Feb-13,Ann Hui,Drama,7.6/10,"Cantonese, English, Mandarin",78/100,78,"After suffering a stroke, an altruistic maid announces that she wants to quit her job and move into an old people's home.",https://ia.media-imdb.com/images/M/MV5BMTQ1NDI2OTU5N15BMl5BanBnXkFtZTcwOTAyNzcwOQ@@._V1_SX300.jpg,China Lion Film Distribution,NOT RATED,9-Mar-12,TRUE,93%,118 min,A Simple Life,movie,"http://China Lion Film Distribution, Inc.","Susan Chan, Roger Lee (story), Roger Lee",2011,tt2008006,7.6,"4,511",1448,
"Aoi YÃ»ki, Chiwa SaitÃ´, Eri Kitamura, Kaori Mizuhashi",N/A,N/A,Japan,N/A,"Yukihiro Miyamoto, Akiyuki ShimbÃ´, Alexander Von David","Animation, Fantasy, Mystery",8.0/10,Japanese,,N/A,"As the truth behind the girls' contracts with Kyubey is revealed, Madoka has to make the ultimate decision to either see those she love the most die before her eyes or to sacrifice her life as a normal girl and help out her friends in need.",https://m.media-amazon.com/images/M/MV5BMDVkOGU4MmUtMTVmMi00NGJhLWJlMzctZjgxNDYwZDZlMjlkXkEyXkFqcGdeQXVyNjU1NTE4NDI@._V1_SX300.jpg,Aniplex,NOT RATED,13-Oct-12,TRUE,,109 min,Puella Magi Madoka Magica the Movie Part 2: Eternal,movie,http://madokamagicausa.com/,"Gen Urobuchi (screenplay), Alexander Von David (english adaptation)",2012,tt2194724,8,872,1449,
"Joey Brown, Garrett Vander Leun, Nina Brissey, Phillip Ellering",N/A,N/A,USA,5-Jun-12,"Nathan Ellering(co-director), Phillip Ellering(co-director)","Action, Sci-Fi, Thriller",2.2/10,English,,N/A,"A story of what happens when a reluctant man is forced to face his fears, which begins as a fun camping trip and ends in a fight for survival in the remote forest of the pacific northwest.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4NzMyNzczNF5BMl5BanBnXkFtZTcwNTI3Nzk3NQ@@._V1_SX300.jpg,Midnight Releasing,NOT RATED,2-Mar-12,TRUE,,88 min,Lost Woods,movie,http://midnightreleasing.com/lost-woods/,"Phillip Ellering, Joey Brown (story), Nathan Ellering, Phillip Ellering (story), Nathan Ellering (story)",2012,tt1975205,2.2,207,1450,
"Vic Mignogna, Maxey Whitehead, Alexis Tipton, Matthew Mercer",4 wins & 5 nominations.,N/A,Japan,24-Apr-12,Kazuya Murata,"Animation, Action, Adventure",7.1/10,Japanese,54/100,54,"In the lost holy land of Milos, the Elrics search for the truth behind an unknown form of alchemy. What secrets are hidden in Milos? Riddles must be solved and dangers faced before the truth can be found.",https://m.media-amazon.com/images/M/MV5BMTY2OTY4MDk4NF5BMl5BanBnXkFtZTcwMzA0NzExNw@@._V1_SX300.jpg,Eleven Arts,NOT RATED,20-Jan-12,TRUE,85%,110 min,Fullmetal Alchemist: The Sacred Star of Milos,movie,http://www.facebook.com/FullmetalAlchemistMovie2,"Hiromu Arakawa (manga), YÃ»ichi Shinbo (screenplay), John Burgmeier (head writer), Bonny Clinkenbeard (script writer)",2011,tt1776196,7.1,"3,520",1451,
"Riteish Deshmukh, Genelia D'Souza, Om Puri, Tinnu Anand",N/A,"$177,472",India,N/A,Mandeep Kumar,"Comedy, Drama, Romance",5.8/10,Hindi,,N/A,"A boy kidnaps a girl, but starts to fall in love with her.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2NjcxMTcyMV5BMl5BanBnXkFtZTcwMzczNjcyNw@@._V1_SX300.jpg,UTV Motion Pictures,NOT RATED,24-Feb-12,TRUE,,130 min,Tere Naal Love Ho Gaya,movie,https://www.facebook.com/TereNaalLoveHoGaya,"Abhijeet Sandhu, Dhieyo Sandhu",2012,tt2130242,5.8,"3,469",1452,
"Kirk Cameron, Todd Akin, Sue Allan, David Barton",N/A,N/A,USA,N/A,Duane James Barnhart,"Documentary, History",5.0/10,English,,N/A,"Follow Kirk Cameron across Europe and the U.S. as he seeks to discover the people, places and principles that made America the freest, most prosperous and generous nation the world has ever known.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjM0MTcwOTM3M15BMl5BanBnXkFtZTgwMTAwNTA2MDE@._V1_SX300.jpg,ArtAffects Entertainment,PG,30-Mar-12,TRUE,,90 min,Monumental: In Search of America's National Treasure,movie,http://www.monumentalmovie.com,Kevin Miller,2012,tt1706687,5,692,1453,
"Mohamed Attia, Mohamed Khameesy",N/A,"$176,432",Egypt,3-Jul-12,Anas Tolba,"Short, Crime, Drama",,Arabic,,N/A,"This short movie is a story of a big time drug dealer who plans to kill one of his small-time dealers. They meet up in a public place, but things turn out very differently than expected.",N/A,Magnolia Pictures,N/A,N/A,TRUE,71%,6 min,The Hunter,movie,http://www.magpictures.com/thehunter/,Mohamed Al-Kazzaz,2012,tt2595924,N/A,N/A,1454,
"Gowan, Chuck Panozzo, Tommy Shaw, Todd Sucherman",N/A,N/A,USA,N/A,N/A,Music,8.8/10,English,,N/A,"in this concert, Styx plays both the A and B sides of their popular Grand Illusion and Pieces of Eight albums back to back. it features an animated video of a boy listening to a record and then flipping it over to listen to the B-side.",N/A,N/A,N/A,31-Jan-12,TRUE,,131 min,Styx: Grand Illusion/Pieces of Eight - Live,movie,N/A,N/A,2012,tt3058712,8.8,9,1455,
"Marques Houston, Mekia Cox, Lynn Whitfield, Tristen M. Carter",N/A,"$169,000",USA,18-Sep-12,Chris Stokes,"Drama, Musical",2.6/10,English,31/100,31,"A young businessman who lands a community service sentence falls in with a group of misfit kids who need mentoring. With the help of a pro instructor, he works to get the kids ready for a big underground dance competition.",https://m.media-amazon.com/images/M/MV5BMjkxOTUwNTc0Nl5BMl5BanBnXkFtZTcwODM5MjI3Nw@@._V1_SX300.jpg,Cinedigm Entertainment,PG-13,21-Jun-12,TRUE,8%,106 min,Battlefield America,movie,http://www.battlefieldamericamovie.com/,"Marques Houston (screenplay), Chris Stokes (screenplay)",2012,tt1995260,2.6,"1,355",1456,
"Jet Li, Xun Zhou, Kun Chen, Lun-Mei Kwei",11 wins & 29 nominations.,"$95,452",China,2-Oct-12,Hark Tsui,"Action, Adventure",6.0/10,Mandarin,57/100,57,"Set three years after Dragon Inn, innkeeper Jade has disappeared and a new inn has risen from the ashes - one that's staffed by marauders masquerading as law-abiding citizens, who hope to unearth the fabled lost city buried in the desert.",https://m.media-amazon.com/images/M/MV5BMTAxMDk2ODE0NjdeQTJeQWpwZ15BbWU3MDkxMDQwMzg@._V1_SX300.jpg,IMAX,R,15-Dec-11,TRUE,69%,122 min,Flying Swords of Dragon Gate,movie,http://releasing.indomina.com/,Hark Tsui (screenplay),2011,tt1686784,6,"7,073",1457,
"Akshay Kumar, Sonakshi Sinha, Shreyas Talpade, Minissha Lamba",4 wins & 1 nomination.,"$169,137",India,19-Aug-14,Shirish Kunder,"Comedy, Family, Sci-Fi",2.6/10,Hindi,,N/A,"A space scientist working on a project to communicate with aliens visits a village called Paglapur. To improve the plight of the inhabitants of Paglapur, he comes up with a novel idea.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0NjIxODMxN15BMl5BanBnXkFtZTcwMjM5MDcxOA@@._V1_SX300.jpg,UTV Communications,NOT RATED,31-Aug-12,TRUE,0%,104 min,Joker,movie,http://www.facebook.com/utvmotionpictures,"Shirish Kunder (dialogue), Shirish Kunder (screenplay), Shirish Kunder (story)",2012,tt1918886,2.6,"4,178",1458,
"Martin Landau, Gabriella Wilde, Max Thieriot, Linus Roache",N/A,"$166,228",USA,13-Nov-12,Roland Emmerich,"Drama, Fantasy",5.8/10,English,,N/A,He thought his future was in an astrophysics lab. His true calling lies somewhere closer to the White House...,N/A,Vitagraph Films,N/A,N/A,TRUE,70%,N/A,Dark Horse,movie,http://www.darkhorsemovie.com/,"Roland Emmerich, Harald Kloser",2012,tt2202377,5.8,44,1459,
"David Boies, Richard Branson, Sheree Carter-Galvan, Toby Cosgrove",N/A,N/A,USA,N/A,James Redford,Documentary,7.6/10,English,,N/A,"Successful leaders reflect on their Dyslexic experiences, as a high school senior must overcome the challenges of Dyslexia to achieve his dream of getting into a competitive college.",https://m.media-amazon.com/images/M/MV5BMTYzODMyNjc2Nl5BMl5BanBnXkFtZTgwNDE5MjY2MDE@._V1_SX300.jpg,N/A,NOT RATED,29-Oct-12,TRUE,,60 min,The Big Picture: Rethinking Dyslexia,movie,N/A,N/A,2012,tt2106687,7.6,72,1460,
"Lumina Classika, Nooka Karamel, Baby Light, Christian Louboutin",N/A,N/A,France,N/A,Bruno Hullin,"Documentary, Musical",6.1/10,French,,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMDY3YTY5ZDAtMzQ2NC00M2M1LWE0NWEtNGNjZDczYjcyYjc5XkEyXkFqcGdeQXVyMzAzODY0NzE@._V1_SX300.jpg,N/A,N/A,5-Mar-12,TRUE,,90 min,Feu: Crazy Horse Paris,movie,N/A,N/A,2012,tt2556342,6.1,148,1461,
N/A,N/A,N/A,France,N/A,Pierre Klein,"Documentary, Drama",N/A,French,N/A,N/A,"In this Film, Pierre Klein explores the woman's handbag, this intimate accessory of day to day life and tried to revel their personality through this object of mystery. The process was ...",N/A,N/A,N/A,N/A,TRUE,N/A,52 min,Elles vident leur sac,movie,N/A,Pierre Klein,2012,tt3328620,N/A,N/A,1462,
"Laurence Saunders, Carl Coleman, Elisabeth Shahlavi, Alex Marieka Hanly",N/A,N/A,UK,24-Jul-12,Tony Jopia,"Horror, Thriller",2.2/10,English,,N/A,A Birmingham-based band are ordered by their unhappy record company to an old warehouse; the goal being to re-start their ailing careers with a kick-ass new promo video. Unfortunately the ...,https://images-na.ssl-images-amazon.com/images/M/MV5BODI4NjYyNjI2M15BMl5BanBnXkFtZTgwODkyNDA2MDE@._V1_SX300.jpg,Midnight Releasing,NOT RATED,11-May-12,TRUE,,97 min,Deadtime,movie,http://midnightreleasing.com/deadtime/,Stephen Bishop,2012,tt1560479,2.2,243,1463,
"Freny Bhagat, Dinyar Contractor, Nauheed Cyrusi, Kavin Dave",N/A,N/A,India,N/A,Bela Segal,Romance,4.3/10,Hindi,,N/A,Farhad Pastakia (Boman Irani) has a dream job as a bra-and-panty salesman. Except that he is a 45-year old Parsi bachelor still living with his overbearing mother and grandmother. But it's ...,https://images-na.ssl-images-amazon.com/images/M/MV5BZTc3NzRhZTUtNjE4Ny00ZjNmLTliYjctZGIxZmE3OWIyMGU1XkEyXkFqcGdeQXVyMzc0NzU5MTc@._V1_SX300.jpg,Eros Entertainment,N/A,24-Aug-12,TRUE,,N/A,Shirin Farhad Ki Toh Nikal Padi,movie,N/A,"Sanjay Leela Bhansali, Vibhu Puri (additional screenplay)",2012,tt2187972,4.3,928,1464,
"LÃ©a Seydoux, Kacey Mottet Klein, Martin Compston, Gillian Anderson",10 wins & 10 nominations.,N/A,"France, Switzerland",25-Jun-14,Ursula Meier,"Crime, Drama",7.1/10,"French, English",81/100,81,A drama set at a Swiss ski resort and centered on a boy who supports his sister by stealing from wealthy guests.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTczNTY5NjczOV5BMl5BanBnXkFtZTcwMzA0MTcyOQ@@._V1_SX300.jpg,Adopt Films,UNRATED,18-Apr-12,TRUE,96%,97 min,Sister,movie,http://www.adoptfilms.net/node/20,"Antoine Jaccoud (scenario), Ursula Meier (scenario), Gilles Taurand (scenario), Antoine Jaccoud (dialogue)",2012,tt2062969,7.1,"5,461",1465,
"AndrÃ© Dussollier, Carole Bouquet, MÃ©lanie Thierry, Adriana Asti",1 nomination.,"$153,785","France, Italy",4-Dec-12,AndrÃ© TÃ©chinÃ©,Drama,5.8/10,"French, Italian",66/100,66,"A crime writer living in Venice while working on his new novel meets and soon marries his real-estate agent. Relocated to a remote house on Sant'Erasmo Island, his obsession with his wife's daily whereabouts takes a dark turn.",https://m.media-amazon.com/images/M/MV5BZDgwZGVlMTItNWEyOS00YjRkLWFmNjQtNzM2NmRhNzJkNWM2XkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_SX300.jpg,Strand Releasing,NOT RATED,17-Aug-11,TRUE,77%,111 min,Unforgivable,movie,http://www.strandreleasing.com/films/film_details.asp?BusinessUnitID={9C59ED8C-E,"AndrÃ© TÃ©chinÃ© (scenario), Mehdi Ben Attia (scenario), Philippe Djian (based on the novel by)",2011,tt1583737,5.8,678,1466,
"Muhammet Uzuner, Yilmaz Erdogan, Taner Birsel, Ahmet MÃ_mtaz Taylan",19 wins & 26 nominations.,"$138,730","Turkey, Bosnia and Herzegovina",26-Jun-12,Nuri Bilge Ceylan,"Crime, Drama",7.8/10,Turkish,82/100,82,A group of men set out in search of a dead body in the Anatolian steppes.,https://m.media-amazon.com/images/M/MV5BNWZhNDUwZTgtMWMwZS00OTFkLWFhOTAtYTZhZDAwZTVhZmI5XkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,The Cinema Guild,NOT RATED,23-Sep-11,TRUE,92%,157 min,Once Upon a Time in Anatolia,movie,http://www.nbcfilm.com/anatolia/anatolia.php?mid=1,"Ercan Kesal, Ebru Ceylan, Nuri Bilge Ceylan",2011,tt1827487,7.8,"32,272",1467,
"Matthias Schoenaerts, Jeroen Perceval, Jeanne Dandoy, Barbara Sarafian",Nominated for 1 Oscar. Another 21 wins & 18 nominations.,"$73,567","Belgium, Netherlands",26-Jun-12,MichaÃ«l R. Roskam,"Crime, Drama",7.4/10,"Flemish, French, Dutch",68/100,68,"Sint-Truiden, Belgium. Jacky, a young cattle farmer who is constantly pumped on steroids and hormones, is approached by a veterinarian to make a deal with a notorious beef trader.",https://m.media-amazon.com/images/M/MV5BMjIyODk5MjQ3OF5BMl5BanBnXkFtZTcwNjQwNDUzNw@@._V1_SX300.jpg,Drafthouse Films,R,2-Feb-11,TRUE,86%,129 min,Bullhead,movie,http://www.bullheadmovie.com,MichaÃ«l R. Roskam (scenario),2011,tt1821593,7.4,"19,971",1468,
"Arjun Rampal, Abhay Deol, Manoj Bajpayee, Esha Gupta",N/A,N/A,India,N/A,Prakash Jha,"Drama, Thriller, War",6.9/10,Hindi,,N/A,"On the request of his friend Kabir, SP Adil Sends him to the Naxal group as an informer. When Kabir finds the truth he becomes one of their gang leader.",https://images-na.ssl-images-amazon.com/images/M/MV5BYmVkZDMzZmUtZDNiMi00NTgxLTk2MGUtY2UzNmM0OWQwNjZjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,Eros International,N/A,24-Oct-12,TRUE,,152 min,Chakravyuh,movie,http://www.chakravyuhthefilm.com/,"Ram Goutam (script supervisor), Prakash Jha, Sagar Pandya, Anjum Rajabali, A.M. Turaz (lyricist)",2012,tt2292625,6.9,"2,625",1469,
"HÃ©ctor Aguilar CamÃ_n, RubÃ©n AlbarrÃ¡n, Amandititita, Sergio Arau",N/A,"&pound;145,936",Mexico,15-Jul-13,Duncan Bridgeman,"Documentary, History, Music",7.0/10,Spanish,,N/A,A documentary on some of contemporary Mexico's most iconic artists and performers.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI1NTQ4MjkwMl5BMl5BanBnXkFtZTcwMDE4NTQ2OA@@._V1_SX300.jpg,Pantelion Films,R,30-Nov-12,TRUE,,98 min,Hecho en MÃ©xico,movie,http://www.hechoenmexicothemovie.com/,N/A,2012,tt2062645,7,592,1470,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Movie not found!,N/A,N/A,Simon and the Oaks,N/A,N/A,N/A,2012,N/A,N/A,N/A,1471,
"Noel Allison, Nathalie Ben-Kely, Johnny Dark, Brett Frame",N/A,N/A,USA,N/A,N/A,Short,N/A,English,N/A,N/A,"A look at the FX used in the film ""Deadly Renovations"" hosted by FX supervisor Brett Frame.",https://images-na.ssl-images-amazon.com/images/M/MV5BZmQzMmVjZDEtNGY5My00NWYzLTg4NTgtZWM0ZjQxOTFjZTE4XkEyXkFqcGdeQXVyNDY1MTIzOQ@@._V1_SX300.jpg,N/A,N/A,21-Aug-12,TRUE,N/A,N/A,The VFX Behind Deadly Renovations,movie,N/A,N/A,2012,tt2281527,N/A,N/A,1472,
"Aurelia Becker, Craig Bouwens, Tiffany Burns, Rebekah Fuller",N/A,"$145,697",USA,6-Nov-12,Jim Idema,Fantasy,8.3/10,English,,N/A,"""I Wish"" is the story of a man who stumbles on the ability to have his wishes granted. This real-life fantasy focuses on what the Average Joe would do with such ability and whether he'd do ...",N/A,Magnolia Pictures,N/A,18-Jan-12,TRUE,93%,81 min,I Wish,movie,http://www.magpictures.com/iwish/,Jim Idema,2012,tt2670556,8.3,11,1473,
"Lauren Watson, Jamie Temple, Blake Retter, Nicole Smashnuk",N/A,N/A,Canada,23-Oct-12,David Doucette,Thriller,4.1/10,English,,N/A,"Jason, is bit by a strange organism while on vacation with his girlfriend, Sam, at her sister's secluded farmhouse. The bite begins a transformation in Jason, and now the couple must race ...",https://m.media-amazon.com/images/M/MV5BMTM2NzYyNTE4MF5BMl5BanBnXkFtZTcwMjQxMTAyOA@@._V1_SX300.jpg,Midnight Releasing,N/A,10-Aug-12,TRUE,,82 min,From Beneath,movie,http://www.frombeneathfilm.com/index.html,David Doucette,2012,tt2215366,4.1,798,1474,
"Sean Penn, Olwen FouÃ©rÃ©, Eve Hewson, Johnny Ward",19 wins & 15 nominations.,"$142,242","Italy, France, Ireland",12-Mar-13,Paolo Sorrentino,"Comedy, Drama",6.7/10,"English, Hebrew",61/100,61,"Cheyenne, a retired rock star living off his royalties in Dublin, returns to New York City to find the man responsible for a humiliation suffered by his recently deceased father during W.W.II.",https://m.media-amazon.com/images/M/MV5BMTUzMDg5NjM3Nl5BMl5BanBnXkFtZTcwOTQ3NTI2OA@@._V1_SX300.jpg,The Weinstein Company,R,24-Aug-11,TRUE,65%,118 min,This Must Be the Place,movie,http://www.thismustbetheplacefilm.com/,"Paolo Sorrentino (screenplay), Umberto Contarello (screenplay)",2011,tt1440345,6.7,"29,225",1475,
"Kunal Kapoor, Huma Qureshi, Vinod Nagpal, Rajesh Sharma",2 nominations.,"&pound;140,057",India,N/A,Sameer Sharma,Comedy,6.6/10,Hindi,,N/A,"Omi Khurana's London dream has just ended. On the run from a dangerous UK gangster who he owes money to, Omi returns to his native village in Punjab, pretending to be a well-heeled London ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2OTk3MTg2MV5BMl5BanBnXkFtZTcwNDY5MzY1OA@@._V1_SX300.jpg,UTV Motion Pictures,NOT RATED,2-Nov-12,TRUE,,140 min,Luv Shuv Tey Chicken Khurana,movie,http://www.facebook.com/utvmotionpictures,"Sumit Batheja, Sameer Sharma",2012,tt2186933,6.6,"3,045",1476,
"Josh Blaylock, Ellary Porterfield, Johanna Braddy, Jimmy Wong",5 wins & 17 nominations.,,USA,,N/A,"Action, Romance, Sci-Fi",7.7/10,English,,N/A,"In a futuristic world where gaming is the top sport, a teenager attends a school which specializes in a curriculum of video games in each genre.",https://m.media-amazon.com/images/M/MV5BOTgxOTMwOTAxMF5BMl5BanBnXkFtZTcwMTY3MTExOA@@._V1_SX300.jpg,,NOT RATED,11-May-12,TRUE,,42 min,Video Game High School,series,,N/A,2012â€“2014,tt2170584,7.7,"11,809",1477,3
"Wu Jimu, Nan Yu",1 win.,"$119,608",China,10-Dec-12,Xinman Li,Drama,6.9/10,Chinese,,N/A,"This film presents the love between a mother and a daughter who don't have blood connection with each other. It praised mothers' instinct on the earth. Simultaneously, it discusses the ...",N/A,IFC Films,N/A,10-May-12,TRUE,55%,99 min,Beloved,movie,http://www.ifcfilms.com/films/beloved,Xinman Li,2012,tt3421854,6.9,7,1478,
"Justin Henry, Jose Rosete, Laurie Love, Aja Pollock",N/A,N/A,USA,20-Nov-12,"Brian Skiba, Liam Owen","Drama, Horror",3.2/10,English,,N/A,"In February of 2006, a documentary film crew from Dallas, Texas followed a young woman as she began her career in the porn industry. By March, she had disappeared.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4MjQ2NzUzMF5BMl5BanBnXkFtZTcwMDk1NzMzMg@@._V1_SX300.jpg,Midnight Releasing,NOT RATED,29-Apr-13,TRUE,,94 min,Slaughter Creek,movie,http://midnightreleasing.com/slaughter-creek/,Michael Z. Gordon (screenplay),2011,tt1336106,3.2,140,1479,
"Nolay Piho, Chih-Hsiang Ma, Masanobu AndÃ´, Sabu Kawahara",10 wins & 20 nominations.,N/A,Taiwan,7-Aug-12,Te-Sheng Wei,"Action, Drama, History",7.5/10,"Aboriginal, Japanese, Hokkien",62/100,62,"An indigenous clan-based people living in harmony with nature find their way of life threatened when violent interlopers from another culture arrive, intent on seizing their natural resources and enslaving them.",https://m.media-amazon.com/images/M/MV5BODEyMzQ1NzE2NF5BMl5BanBnXkFtZTcwNjU0MDE2Nw@@._V1_SX300.jpg,Well Go USA Inc.,NOT RATED,9-Sep-11,TRUE,79%,144 min,Warriors of the Rainbow: Seediq Bale I,movie,http://www.facebook.com/WarriorsSeediqBale,Te-Sheng Wei (screenplay),2011,tt2007993,7.5,"6,065",1480,
"Greg Speirs, Jim Lampley, Bill Walton, David Remnick",3 nominations.,"$133,778","USA, Lithuania",14-Jan-13,Marius A. Markevicius,"Documentary, Sport",8.4/10,"English, Lithuanian",69/100,69,"The incredible story of the 1992 Lithuanian basketball team, whose athletes struggled under Soviet rule, became symbols of Lithuania's independence movement, and - with help from the Grateful Dead - triumphed at the Barcelona Olympics.",https://m.media-amazon.com/images/M/MV5BODg5MzQ3NTA5OV5BMl5BanBnXkFtZTcwNTYxMTEzOA@@._V1_SX300.jpg,The Film Arcade,NOT RATED,28-Sep-12,TRUE,88%,89 min,The Other Dream Team,movie,http://www.theotherdreamteam.com/,"Marius A. Markevicius, Jon Weinbach",2012,tt1606829,8.4,"3,262",1481,
"Vikram Gandhi, Toby, Greg, Molly",1 win & 2 nominations.,"&pound;130,836",USA,11-Mar-13,Vikram Gandhi,Documentary,7.5/10,English,60/100,60,"A documentary about a man who impersonates a wise Indian Guru and builds a following in Arizona. At the height of his popularity, the Guru KumarÃ© must reveal his true identity to his disciples and unveil his greatest teaching of all.",https://ia.media-imdb.com/images/M/MV5BMTg2NDcxNTg5OF5BMl5BanBnXkFtZTcwOTUxNjA4Nw@@._V1_SX300.jpg,Kino Lorber Films,NOT RATED,13-Mar-11,TRUE,57%,84 min,KumarÃ©,movie,http://kumaremovie.com/,N/A,2011,tt1865425,7.5,"4,324",1482,
